Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Edelweiss Nifty Bank ETF,Bhavesh Jain,EQ-ETF,Unrated,11.0,0.07,Open Ended,2024-09-10,NIFTY BANK - TRI,51.55,54.33,50.05,-1.93,-3.54,3.25,11.97,15.99,,,,18.0,12.0,538993.0,86.29,13.56,15.24,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Edelweiss NIFTY Large Mid Cap 250 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,225.4,0.83,Open Ended,2021-12-01,NIFTY LargeMidcap 250 - TRI,16.23,17.3,13.47,-0.16,-6.88,-0.65,17.7,24.92,17.47,,,14.0,251.0,158794.0,51.22,45.26,3.41,Financials,,,,9.05,0.91,1.31,0.98,15.47,Equity : Index Funds,Nil,4.0
Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,766.6,1.11,Open Ended,2022-11-30,Nifty Midcap150 Momentum 50 - TRI,19.04,19.97,14.43,1.13,-4.34,1.85,30.84,40.39,,,,81.0,50.0,76844.0,19.44,80.45,15.24,Financials,,,,20.61,1.24,1.79,1.08,20.96,Equity : Index Funds,0.50% on or before 30D Nil after 30D,3.0
Edelweiss Nifty Next 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,95.7,0.79,Open Ended,2022-11-30,NIFTY NEXT 50 - TRI,15.72,17.7,12.15,-3.45,-11.65,-5.55,27.38,27.3,,,,47.0,50.0,143042.0,88.06,11.74,15.24,Financials,,,,16.96,1.13,1.64,1.14,20.1,Equity : Index Funds,Nil,3.0
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),Dhawal Dalal,DT-B&PSU,Unrated,7923.2,0.4,Open Ended,2021-03-18,Nifty PSU Bond Plus SDL Apr 2026 50:50 Index,12.47,12.47,11.6,0.58,1.66,3.69,7.51,7.18,5.44,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.22,1.1,7.36,2.97,7.11,15.79,0.15,0.48,Debt : Banking & PSU,0.10% on or before 30D Nil after 30D,4.0
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,Unrated,2286.4,0.4,Open Ended,2021-10-14,Nifty PSU Bond Plus SDL Apr 2027 50:50 Index,11.86,11.87,11.0,0.56,1.55,3.89,7.97,7.27,5.59,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.25,1.98,7.23,3.15,6.04,13.24,0.22,0.63,Debt : Medium to Long Duration,0.15% upto 30D Nil after 30D,4.0
Edelweiss Nifty Smallcap 250 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,96.2,0.84,Open Ended,2022-11-30,Nifty Smallcap 250 - TRI,18.42,19.1,13.83,0.99,-3.52,2.89,26.29,36.48,,,,42.0,250.0,19551.0,55.18,8.0,91.85,Financials,,,,17.46,1.12,1.59,0.96,19.96,Equity : Index Funds,Nil,3.0
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Bhavesh Jain,EQ-ETF,Unrated,10.8,0.19,Open Ended,2024-10-31,Nifty500 Multicap Momentum Quality 50 - TRI,45.85,48.38,43.97,-2.42,-2.11,3.25,11.97,15.99,,,,18.0,50.0,96310.0,55.69,30.92,11.94,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,156.2,1.1,Open Ended,2024-10-31,Nifty500 Multicap Momentum Quality 50 - TRI,10.04,10.61,9.64,-2.5,-2.11,3.25,11.97,15.99,,,,18.0,50.0,96608.0,56.63,31.22,12.09,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.10% on or before 30D Nil after 30D,1.0
Edelweiss Overnight Fund-Reg(G),Pranavi Kulkarni,DT-ON,3,538.6,0.16,Open Ended,2019-07-24,CRISIL Liquid Overnight Index,1297.61,1297.61,1217.59,0.55,1.6,3.23,6.59,6.6,5.92,4.87,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.64,0.25,30.78,1.88,0.88,0.01,Debt : Overnight,Nil,6.0
Edelweiss Recently Listed IPO Fund-Reg(G),Bhavesh Jain,EQ-THEM,4,974.0,2.26,Open Ended,2018-02-22,India Recent 100 IPO Index,29.08,29.08,20.99,4.09,1.92,10.0,29.47,32.38,11.76,23.87,,101.0,55.0,16953.0,9.43,16.75,70.97,Capital Goods,,,,19.91,1.35,1.96,0.78,17.69,Equity : Thematic,2% upto 180D Nil after 180D,7.0
Edelweiss Silver ETF,Amit Vora,GOLD-ETF,Unrated,97.3,0.39,Open Ended,2023-11-21,Silver,88.72,100.4,71.04,-3.79,-4.53,-2.16,15.79,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,12.63,0.62,1.04,0.48,22.76,Gold : ETFs,,2.0
Edelweiss Small Cap Fund-Reg(G),Trideep Bhattacharya,EQ-SML,4,4373.6,1.83,Open Ended,2019-02-07,Nifty Smallcap 250 - TRI,45.73,46.97,34.06,0.1,-2.39,4.91,25.36,33.67,22.29,32.42,,16.0,78.0,21599.0,1.0,28.32,68.91,Financials,,,,16.58,1.27,1.87,0.78,16.12,Equity : Small Cap,1% on or before 90D Nil after 90D,6.0
Edelweiss Technology Fund-Reg(G),Sumanta Khan,EQ-TECH,Unrated,690.2,2.29,Open Ended,2024-03-05,BSE TECk Index - TRI,12.26,12.74,9.54,1.02,2.49,10.23,11.97,15.99,,,,18.0,80.0,151151.0,42.45,20.23,13.58,Technology,,,,4.33,1.34,2.01,0.88,12.37,Equity : Sectoral - Technology,1% on or before 90D Nil after 90D,1.0
Edelweiss US Technology Equity FOF-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,2571.3,2.35,Open Ended,2020-03-05,Russell 1000 Equal Weighted Technology Index,26.3,27.92,19.18,-0.61,12.0,9.97,28.79,45.91,9.04,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,21.8,1.02,1.58,1.69,25.96,FoFs : Overseas,1% on or before 90D Nil after 90D,5.0
Edelweiss US Value Equity Offshore Fund-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,140.3,2.33,Open Ended,2013-08-07,Russell 1000 Index,31.19,33.63,26.54,-6.96,0.1,7.06,14.64,11.53,8.71,11.67,9.62,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,9.9,0.96,1.59,0.49,11.71,FoFs : Overseas,1% on or before 90D Nil after 90D,12.0
Franklin Asian Equity Fund(G),Shyam Sundar Sriram,EQ-INTL,Unrated,245.5,2.53,Open Ended,2008-01-16,MSCI Asia (ex-Japan) Standard Index,28.79,30.34,23.11,2.09,-4.29,4.04,14.47,7.37,-0.45,3.17,5.99,62.14,52.0,246567.0,28.61,10.54,15.24,Financials,,,,7.86,0.79,1.29,0.56,13.54,Equity : International,1% on or before 1Y,17.0
Franklin Build India Fund(G),Ajay Argal,EQ-INFRA,2,2848.5,2.0,Open Ended,2009-09-04,BSE India Infrastructure Index - TRI,140.28,148.58,108.59,-2.24,-5.42,-3.22,28.34,39.47,29.58,26.9,17.4,23.04,41.0,101163.0,50.63,8.39,34.83,Energy,,,,17.87,1.21,1.69,1.12,19.36,Equity : Sectoral - Infrastructure,1% on or before 1Y,16.0
Franklin India Arbitrage Fund-Reg(G),Rajasa Kakulavarapu,HY-ARB,Unrated,141.3,1.05,Open Ended,2024-11-19,Nifty 50 Arbitrage - TRI,10.07,10.07,10.0,0.6,-2.11,3.25,11.97,15.99,,,,73.55,60.0,226190.0,53.49,14.42,0.75,Financials,0.09,0.09,6.69,4.33,1.34,2.01,0.88,12.37,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D,1.0
Franklin India Balanced Advantage Fund-Reg(G),Rajasa Kakulavarapu,HY-DYN,Unrated,2428.3,1.96,Open Ended,2022-09-06,NIFTY 50 Hybrid Composite Debt 50:50 Index,14.12,14.15,12.1,0.81,0.1,3.29,15.59,17.62,,,,319.02,49.0,237958.0,47.17,8.36,10.56,Financials,2.88,2.4,7.44,8.24,1.67,2.49,0.93,6.57,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y,3.0
Franklin India Banking & PSU Debt Fund(G),Chandni Gupta,DT-B&PSU,3,580.3,0.52,Open Ended,2014-04-25,NIFTY Banking and PSU Debt Index,21.51,21.51,19.97,0.64,1.65,3.98,7.72,7.27,5.92,6.07,7.16,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.15,2.73,7.42,3.02,6.51,13.48,0.21,0.56,Debt : Banking & PSU,Nil,11.0
Franklin India Bluechip Fund(G),Venkatesh Sanjeevi,EQ-LC,5,7847.5,1.84,Open Ended,1993-12-01,NIFTY 100 - TRI,1004.62,1072.65,828.65,-1.07,-6.57,1.57,16.82,19.9,12.23,16.09,11.27,77.98,47.0,291811.0,77.64,17.03,2.29,Financials,,,,8.16,0.98,1.56,0.86,12.76,Equity : Large Cap,1% on or before 1Y,32.0
Franklin India Corp Debt Fund-A(G),Anuj Tagra,DT-CORP,1,757.6,0.79,Open Ended,1997-06-23,NIFTY Corporate Bond Index,94.34,94.34,87.61,0.59,1.77,4.06,7.66,7.09,5.77,5.96,7.17,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.18,2.76,7.58,3.0,6.28,12.97,0.19,0.57,Debt : Corporate Bond,Nil,28.0
Franklin India Debt Hybrid Fund(G),Rohan Maru,HY-DT(CO),2,245.1,1.4,Open Ended,2000-09-28,CRISIL Hybrid 85+15 - Conservative Index,87.53,87.69,78.63,0.46,0.23,3.57,10.79,11.24,8.78,8.23,7.59,0.0,49.0,221165.0,15.48,2.9,3.89,Financials,4.23,3.2,7.34,4.49,1.81,2.69,0.66,3.56,Hybrid : Debt Oriented (Conservative),Nil,25.0
Franklin India Dynamic Asset Allocation FOFs(G),Rajasa Kakulavarapu,FOF-DOM,Unrated,1314.1,1.38,Open Ended,2003-10-31,CRISIL Hybrid 50+50 - Moderate Index,159.67,162.32,140.9,0.28,-1.16,3.12,13.01,17.2,13.76,13.08,10.35,74.54,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,5.7,1.45,2.16,1.06,6.13,FoFs : Domestic,Nil for 10% of units on or before 1Y and For remaining investment 1% on or before 1Y and Nil after 1Y,22.0
Franklin India ELSS Tax Saver Fund(G),R. Janakiraman,EQ-ELSS,3,6889.6,1.8,Open Ended,1999-04-10,NIFTY 500 - TRI,1495.43,1556.69,1191.73,0.25,-4.13,3.23,22.82,27.81,19.94,20.68,13.82,26.59,55.0,251335.0,71.59,16.14,9.34,Financials,,,,13.28,1.3,1.92,0.93,13.85,Equity : Tax Saving (ELSS),Nil,26.0
Franklin India Equity Advantage Fund(G),Venkatesh Sanjeevi,EQ-L&M,3,3544.8,2.0,Open Ended,2005-03-02,NIFTY LargeMidcap 250 - TRI,183.32,198.32,148.68,-0.61,-6.67,1.75,19.18,23.09,13.8,18.03,11.87,106.44,51.0,124058.0,45.64,37.27,12.49,Financials,,,,10.66,1.08,1.64,0.87,13.92,Equity : Large & Mid Cap,1% on or before 1Y,20.0
Franklin India Equity Hybrid Fund(G),Rajasa Kakulavarapu,HY-EQ,4,2050.0,2.09,Open Ended,1999-12-10,CRISIL Hybrid 35+65 - Aggressive Index,267.92,272.84,223.77,0.49,-1.77,3.27,17.95,20.72,15.16,16.34,11.92,58.55,51.0,216241.0,47.36,8.8,12.22,Financials,3.15,2.36,7.78,8.82,1.31,1.91,1.54,10.16,Hybrid : Equity Oriented,Nil upto 10% of units on or before 1Y For excess units 1% on or before 1Y & Nil after 1Y,26.0
Franklin India Equity Savings Fund(G),Rajasa Kakulavarapu,HY-EQ,2,726.0,1.12,Open Ended,2018-08-27,NIFTY 50 Equity Savings Index,15.93,15.95,14.55,0.3,0.53,3.29,8.99,9.61,7.63,8.79,,697.54,59.0,328937.0,58.74,6.75,1.18,Financials,3.69,2.52,7.29,3.43,1.86,2.95,0.43,2.52,Hybrid : Equity Oriented,Nil,7.0
Franklin India Feeder - Franklin U.S. Opportunities Fund(G),Sandeep Manam,FOF-OVR,Unrated,3775.6,1.53,Open Ended,2012-02-06,Russell 3000 Growth Index,72.37,75.88,54.93,-1.86,3.51,7.33,27.13,32.32,6.89,15.88,14.3,4.01,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,22.2,1.28,2.09,0.25,17.91,FoFs : Overseas,1% on or before 1Y,13.0
Franklin India Feeder - Templeton European Opportunities Fund(G),Sandeep Manam,FOF-OVR,Unrated,15.6,1.4,Open Ended,2014-05-16,MSCI Europe Index (Total Return Net),10.04,11.18,9.45,-1.13,-9.24,-1.63,-0.61,5.28,1.74,-0.04,1.35,4.98,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,-7.11,-0.26,-0.42,1.16,14.58,FoFs : Overseas,1% on or before 1Y,11.0
Franklin India Flexi Cap Fund(G),R. Janakiraman,EQ-FLEX,4,17808.4,1.7,Open Ended,1994-09-29,NIFTY 500 - TRI,1643.57,1713.01,1318.7,0.22,-4.18,2.94,22.1,27.17,19.52,22.38,14.47,26.79,57.0,239092.0,69.66,16.86,9.78,Financials,,,,12.73,1.27,1.87,0.91,13.65,Equity : Flexi Cap,1% on or before 1Y,31.0
Franklin India Floating Rate Fund(G),Pallab Roy,DT-FL,2,301.8,0.96,Open Ended,2001-04-23,Nifty Short Duration Debt Index,38.97,38.97,36.04,0.48,1.56,3.99,8.11,7.72,6.54,5.76,6.13,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,6.0,1.38,7.49,3.7,7.06,16.18,0.11,0.57,Debt : Floater,Nil,24.0
Franklin India Focused Equity Fund(G),Ajay Argal,EQ-MLC,3,12183.3,1.76,Open Ended,2007-07-26,NIFTY 500 - TRI,106.86,115.08,87.43,-0.9,-6.81,-0.38,20.26,22.19,17.84,20.06,13.96,19.87,29.0,281586.0,76.03,14.54,5.1,Financials,4.82,3.33,14.04,11.14,1.17,1.77,0.9,13.41,Equity : Multi Cap,1% on or before 1Y,18.0
Franklin India G-Sec Fund(G),Anuj Tagra,DT-GILT,1,151.2,1.15,Open Ended,2001-12-07,Nifty All Duration G-Sec Index,56.42,56.43,52.43,0.51,1.16,4.11,7.43,6.41,5.08,5.12,5.9,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,6.27,3.37,6.84,1.69,2.94,5.54,0.52,1.1,Debt : Gilt,Nil,24.0
Franklin India Liquid Fund-Super Inst(G),Pallab Roy,DT-LIQ,4,2293.0,0.2,Open Ended,2005-09-02,Nifty Liquid Fund Index,3798.23,3798.23,3537.7,0.6,1.76,3.58,7.38,7.17,6.4,5.34,6.39,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.11,0.1,7.09,0.76,11.15,5.61,0.88,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D,20.0
Franklin India Long Duration Fund-Reg(G),Chandni Gupta,DT-LD,Unrated,709.5,1.08,Open Ended,2024-12-11,CRISIL Long Duration Debt Index,10.0,10.01,9.98,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Debt : Long Duration,Nil,1.0
Franklin India Medium to Long Duration Fund-Reg(G),Chandni Gupta,DT-M&LD,Unrated,62.7,0.83,Open Ended,2024-09-24,CRISIL Medium to Long Term Debt Index,10.15,10.15,9.99,0.46,1.12,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,8.14,4.24,7.33,4.33,1.34,2.01,0.88,12.37,Debt : Medium to Long Duration,Nil,1.0
Franklin India Money Market Fund(G),Rohan Maru,DT-MM,4,2271.5,0.29,Open Ended,2002-02-11,Nifty Money Market Index,48.24,48.24,44.84,0.64,1.78,3.68,7.62,7.45,6.44,5.77,6.83,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.42,0.39,7.44,3.48,10.99,22.8,0.03,0.33,Debt : Money Market,Nil,23.0
Franklin India Multi Cap Fund-Reg(G),R. Janakiraman,EQ-MLC,Unrated,4597.2,1.81,Open Ended,2024-07-29,Nifty500 Multicap 50:25:25 - TRI,10.31,10.66,9.67,0.76,-3.13,3.25,11.97,15.99,,,,9.63,66.0,83430.0,42.97,22.04,30.33,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Multi Cap,1% before 1Y,1.0
Franklin India Multi-Asset Solution FoF(G),Rajasa Kakulavarapu,FOF-DOM,Unrated,60.1,1.44,Open Ended,2014-11-28,NIFTY 500 - TRI,18.95,19.43,16.75,-0.13,-1.86,2.47,11.89,13.39,10.11,7.59,6.56,40.13,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,5.64,1.35,2.21,0.71,5.76,FoFs : Domestic,1% on or before 3Y Nil after 3Y,11.0
Franklin India NSE Nifty 50 Index Fund(G),Shyam Sundar Sriram,EQ-INDX,2,698.4,0.63,Open Ended,2000-08-04,NIFTY 50,193.93,209.98,169.29,-1.65,-7.92,-1.42,9.88,15.74,12.18,14.82,11.3,8.61,50.0,555830.0,98.38,1.24,15.24,Financials,,,,1.49,0.47,0.71,0.99,13.92,Equity : Index Funds,Nil,25.0
Franklin India Opportunities Fund(G),R. Janakiraman,EQ-THEM,3,5904.9,1.8,Open Ended,2000-02-21,NIFTY 500 - TRI,255.38,261.13,182.81,0.61,-2.4,2.7,37.41,46.28,28.05,27.96,16.7,63.97,63.0,71933.0,41.53,11.82,40.44,Healthcare,,,,25.55,1.95,2.88,0.85,15.28,Equity : Thematic,1% on or before 1Y,25.0
Franklin India Overnight Fund(G),Pallab Roy,DT-ON,2,308.1,0.15,Open Ended,2019-05-08,Nifty 1D Rate Index,1307.34,1307.34,1226.46,0.55,1.61,3.23,6.62,6.58,5.93,4.8,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.63,0.28,32.37,1.98,0.88,0.01,Debt : Overnight,Nil,6.0
Franklin India Pension Plan(G),Anuj Tagra,HY-SOL,2,518.5,2.26,Open Ended,1997-03-31,CRISIL Short Term Debt Hybrid 60+40 Index,213.91,214.55,188.15,0.52,-0.32,3.48,12.75,13.66,10.2,9.69,8.51,0.0,49.0,212748.0,26.59,5.05,6.84,Financials,2.38,2.07,7.58,5.62,1.46,2.14,0.93,5.73,Hybrid : Solution Oriented,3% on or beofre the 58Y of age Nil after age of 58Y,28.0
Franklin India Prima Fund(G),R. Janakiraman,EQ-MID,2,12441.5,1.76,Open Ended,1993-12-01,Nifty Midcap 150 - TRI,2802.08,2856.59,2072.9,1.31,-2.57,4.95,31.91,34.81,23.1,23.52,15.87,23.91,78.0,58660.0,14.89,62.88,20.05,Financials,,,,21.14,1.62,2.48,0.89,15.84,Equity : Mid Cap,1% on or before 1Y,32.0
Franklin India Smaller Cos Fund(G),R. Janakiraman,EQ-SML,1,14045.3,1.73,Open Ended,2006-01-13,Nifty Smallcap 250 - TRI,181.9,188.14,139.74,0.52,-3.15,-0.91,23.55,37.41,25.2,29.06,17.25,27.73,93.0,19008.0,4.68,12.86,76.42,Financials,,,,15.04,1.19,1.73,0.8,16.09,Equity : Small Cap,1% on or before 1Y,19.0
Franklin India ST Income Plan(G),Santosh Kamath,DT-SD,1,12.5,1.08,Open Ended,2002-01-31,CRISIL Short Term Bond Index,5149.41,5149.41,5149.41,0.0,0.0,0.0,0.0,3.37,5.09,4.75,6.27,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.17,1.05,10.88,-4.11,-133.56,-78.85,0.88,12.37,Debt : Short Duration,Nil,23.0
Franklin India Technology Fund(G),R. Janakiraman,EQ-TECH,Unrated,1950.1,2.03,Open Ended,1998-08-22,BSE TECk Index - TRI,547.91,570.03,417.35,1.03,0.02,9.22,28.81,39.37,14.78,26.74,17.42,67.58,29.0,275044.0,63.35,7.36,16.34,Technology,,,,19.4,1.55,2.81,0.68,14.68,Equity : Sectoral - Technology,1% on or before 1Y,27.0
Franklin India Ultra Short Duration Fund-Reg(G),Rohan Maru,DT-USD,Unrated,216.3,0.73,Open Ended,2024-08-29,NIFTY Ultra Short Duration Debt Index,10.24,10.24,10.0,0.57,1.68,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.65,0.38,7.37,4.33,1.34,2.01,0.88,12.37,Debt : Ultra Short Duration,Nil,1.0
Groww Aggressive Hybrid Fund-Reg(G),Anupam Tiwari,HY-EQ,Unrated,46.0,2.3,Open Ended,2018-12-13,CRISIL Hybrid 35+65 - Aggressive Index,20.43,21.7,17.86,-1.74,-5.66,-2.16,12.41,15.65,11.75,12.87,,158.0,30.0,371037.0,64.21,3.21,2.55,Financials,,,,2.6,0.72,1.07,1.97,11.61,Hybrid : Equity Oriented,1% on or before 7D Nil after 7D,7.0
Groww Banking & Financial Services Fund-Reg(G),Anupam Tiwari,EQ-FIN,Unrated,47.7,2.3,Open Ended,2024-02-06,Nifty Financial Services - TRI,11.15,11.53,9.81,-0.3,-2.25,0.63,11.97,15.99,,,,65.0,28.0,230740.0,68.07,9.51,18.87,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D,1.0
Groww Dynamic Bond Fund-Reg(G),Kaustubh Sule,DT-DYN,Unrated,52.4,1.45,Open Ended,2018-12-04,CRISIL Dynamic Bond Index,1414.96,1417.2,1322.4,0.32,0.56,3.57,6.81,6.08,4.97,5.12,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,17.07,6.77,6.99,0.55,1.89,3.33,0.71,1.41,Debt : Dynamic Bond,Nil,7.0
Groww ELSS Tax Saver Fund-Reg(G),Anupam Tiwari,EQ-ELSS,Unrated,50.0,2.25,Open Ended,2017-12-28,BSE 500 - TRI,20.52,21.68,16.97,-0.93,-4.87,0.74,18.49,22.4,15.51,15.01,,134.0,46.0,86978.0,45.43,24.81,23.99,Financials,,,,9.42,0.92,1.37,0.97,15.49,Equity : Tax Saving (ELSS),Nil,8.0
Groww Gold ETF,Wilfred Gonsalves,GOLD-ETF,Unrated,55.6,0.51,Open Ended,2024-10-22,Gold-India,76.69,79.3,73.44,-0.16,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Gold : ETFs,,1.0
Groww Gold ETF FOF-Reg(G),Wilfred Gonsalves,GOLD-MF,Unrated,14.8,0.55,Open Ended,2024-11-06,Gold-India,9.75,10.0,9.43,-0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Gold : MFs,1% on or before 30D Nil after 30D,1.0
Groww Largecap Fund-Reg(G),Anupam Tiwari,EQ-LC,Unrated,127.2,2.42,Open Ended,2012-02-10,NIFTY 100 - TRI,42.02,45.73,36.24,-2.08,-8.09,-4.08,13.13,18.22,13.55,13.04,11.23,161.0,31.0,322282.0,86.18,3.62,3.16,Financials,,,,4.26,0.63,0.94,1.02,15.05,Equity : Large Cap,1% on or before 7D Nil after 7D,13.0
Groww Liquid Fund-Reg(G),Kaustubh Sule,DT-LIQ,4,154.1,0.2,Open Ended,2011-10-25,CRISIL Liquid Debt Index,2440.38,2440.38,2273.59,0.59,1.75,3.55,7.36,7.05,6.24,5.13,6.24,0.0,4.0,156243.5,55.18,14.37,15.24,Not Applicable,0.06,0.07,7.1,1.74,10.68,13.31,0.88,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,14.0
Groww Multicap Fund-Reg(G),Anupam Tiwari,EQ-MLC,Unrated,709.5,1.08,Open Ended,2024-12-16,Nifty500 Multicap 50:25:25 - TRI,10.07,10.07,9.92,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Multi Cap,1% on or before 1Y Nil after 1Y,1.0
Groww Nifty 1D Rate Liquid ETF,Kaustubh Sule,DT-ETF,Unrated,41.2,0.29,Open Ended,2024-09-24,Nifty 1D Rate Index,101.82,101.82,100.0,0.56,1.6,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.68,4.33,1.34,2.01,0.88,12.37,Debt : ETFs,,1.0
Groww Nifty EV & New Age Automotive ETF,Abhishek Jain,EQ-ETF,Unrated,223.8,0.47,Open Ended,2024-08-07,Nifty EV and New Age Automotive - TRI,30.51,35.3,29.41,-2.0,-14.43,3.25,11.97,15.99,,,,9.0,33.0,102156.0,51.52,34.29,14.09,Automobile and Ancillaries,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Groww Nifty EV & New Age Automotive ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,Unrated,109.8,0.62,Open Ended,2024-08-12,Nifty EV and New Age Automotive - TRI,9.38,10.92,9.06,-1.96,-14.55,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,1% on or before 30D Nil after 30D,1.0
Groww Nifty India Defence ETF,Abhishek Jain,EQ-ETF,Unrated,76.2,0.43,Open Ended,2024-10-08,Nifty India Defence - TRI,65.74,70.19,59.77,-2.52,-2.11,3.25,11.97,15.99,,,,18.0,16.0,77368.0,41.53,35.53,22.81,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Groww Nifty India Defence ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,Unrated,27.0,0.63,Open Ended,2024-10-11,Nifty India Defence - TRI,9.72,10.39,8.87,-2.14,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,1% on or before 30D Nil after 30D,1.0
Groww Nifty Non-Cyclical Consumer Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,45.6,1.0,Open Ended,2024-05-22,Nifty Non-Cyclical Consumer - TRI,11.07,12.38,9.73,-0.32,-10.19,3.58,11.97,15.99,,,,6.0,30.0,233584.0,82.73,15.65,1.66,FMCG,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 30D Nil after 30D,1.0
