Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Motilal Oswal Flexi Cap Fund-Reg(G),Niket Shah,EQ-FLEX,1,12598.5,1.73,Open Ended,2014-04-28,NIFTY 500 - TRI,65.29,65.74,43.84,3.31,0.83,14.49,46.88,39.38,23.63,19.1,15.38,152.0,15.0,88821.0,59.45,34.13,15.24,Retail and Other Services,,,,31.65,2.17,3.51,0.93,16.77,Equity : Flexi Cap,1% on or before 1Y Nil after 1Y,11.0
Motilal Oswal Focused Fund-Reg(G),Santosh Singh,EQ-LC,2,1865.1,2.07,Open Ended,2013-05-13,NIFTY 500 - TRI,45.41,51.74,38.97,-1.8,-12.77,-3.76,13.47,16.62,11.65,13.2,11.54,93.0,21.0,30498.0,19.15,26.27,53.55,Financials,,,,6.25,0.66,0.99,0.82,15.77,Equity : Large Cap,1% on or before 1Y Nil after 1Y,12.0
Motilal Oswal Gold and Silver ETFs FoF-Reg(G),Bhalchandra Shinde,GOLD-MF,Unrated,170.5,0.51,Open Ended,2022-10-13,Gold-India,14.62,15.55,11.84,-1.06,-0.53,3.32,17.85,14.7,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,12.6,0.93,1.52,0.54,15.34,Gold : MFs,Nil,3.0
Motilal Oswal Large & Midcap Fund-Reg(G),Ajay Khandelwal,EQ-L&M,Unrated,7710.0,1.74,Open Ended,2019-10-17,NIFTY LargeMidcap 250 - TRI,35.18,35.63,23.67,5.3,2.62,17.06,45.96,42.66,27.45,26.63,,56.0,31.0,83531.0,35.0,42.09,19.98,Capital Goods,,,,32.16,1.98,3.01,0.92,18.62,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y,6.0
Motilal Oswal Large Cap Fund-Reg(G),Ajay Khandelwal,EQ-LC,Unrated,1422.2,2.12,Open Ended,2024-02-06,NIFTY 100 - TRI,13.42,13.42,9.91,2.35,-0.56,10.14,11.97,15.99,,,,40.0,42.0,283385.0,79.89,7.1,10.93,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Large Cap,1% on or before 1Y Nil after 1Y,1.0
Motilal Oswal Liquid Fund-Reg(G),Rakesh Shetty,DT-LIQ,1,811.8,0.37,Open Ended,2018-12-19,CRISIL Liquid Debt Index,13.38,13.38,12.52,0.55,1.62,3.32,6.89,6.7,5.95,4.81,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.11,0.1,6.96,1.39,9.4,11.51,0.88,0.15,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,7.0
Motilal Oswal Manufacturing Fund-Reg(G),Ajay Khandelwal,EQ-THEM,Unrated,727.8,2.34,Open Ended,2024-08-08,Nifty India Manufacturing - TRI,11.99,11.99,10.0,8.37,8.62,3.25,11.97,15.99,,,,3.0,32.0,52892.0,23.94,40.84,32.85,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 3M Nil after 3M,1.0
Motilal Oswal Midcap Fund-Reg(G),Niket Shah,EQ-MID,2,22897.6,1.59,Open Ended,2014-02-24,Nifty Midcap 150 - TRI,114.06,114.69,71.28,4.05,3.79,17.4,57.89,49.91,35.56,33.49,20.43,133.0,27.0,106445.0,42.67,55.44,1.28,Retail and Other Services,,,,39.36,2.6,4.49,0.85,16.81,Equity : Mid Cap,1% on or before 1Y Nil after 1Y,11.0
Motilal Oswal Multi Asset Fund-Reg(G),Santosh Singh,HY-MULTI,Unrated,101.1,2.04,Open Ended,2020-08-04,NIFTY 500 - TRI,12.82,14.41,12.34,-1.8,-11.69,-5.19,2.38,8.44,5.68,,,37.0,17.0,29085.0,19.4,12.43,38.74,Financials,0.12,0.75,8.03,-3.98,-0.08,-0.13,1.09,9.11,Hybrid : Multi Asset Allocation,1% on or before 1Y Nil after 1Y,5.0
Motilal Oswal Multi Cap Fund-Reg(G),Ajay Khandelwal,EQ-MLC,Unrated,2298.9,1.98,Open Ended,2024-06-18,Nifty500 Multicap 50:25:25 - TRI,13.88,14.12,10.0,4.84,7.51,29.05,11.97,15.99,,,,111.0,20.0,31548.0,37.49,22.62,32.02,Retail and Other Services,,,,4.33,1.34,2.01,0.88,12.37,Equity : Multi Cap,1% on or before 1Y Nil after 1Y,1.0
Motilal Oswal Nasdaq 100 ETF,Sunil Sawant,EQ-ETF,Unrated,8777.8,0.58,Open Ended,2011-03-29,Nasdaq-100,175.78,183.25,132.39,1.7,8.61,8.87,28.51,40.67,13.72,23.59,20.74,15.0,101.0,156243.5,55.18,14.37,15.24,,,,,21.77,1.27,2.04,0.46,18.12,Equity : ETFs,Nil,14.0
